0,polarity,subjectivity,Sentiment
crazy that  is going to > market cap at the next cycle top as the “  of this cycle” and you still don’t own any anon. -100 exit or bust bitch.,0.125,0.6,Positivo
"crazy part is, a lot of what i have been trading is still up..",-0.6,0.9,Negativo
stacking on support..,0.0,0.0,Neutro
lfg!!,0.0,0.0,Neutro
- twitter been super bullish on this one and this is the first real pullback since the bottom. buying the daily re-touch of the supertrend support. close below and i will  sell.,0.1958333333333333,0.325,Positivo
looks ready to get sent,0.2,0.5,Positivo
"when you zoom out, all goodand we burned off that much needed rsi",0.2,0.2,Positivo
,0.0,0.0,Neutro
:  - quick video update on #bitcoin,0.3333333333333333,0.5,Positivo
25e buy from a  wallet few 10e buys earlier from similar whale wallets too all time high within touching distance…  is programmed,0.092,0.40800000000000003,Positivo
"0-56 days now one day you wake up, and you see the headline  etf approved> [](> in theory january 10th would be the last day. right now the etf experts have the odds at 90% for approval and believe it will end up having all approved at the same time. the decision for approval can come before the date. it’s just the latest date is 84 days away for",0.19642857142857142,0.4068452380952381,Positivo
#gft,0.0,0.0,Neutro
getting ready for the move to +,0.2,0.5,Positivo
now that fake su zhu sold his  bags it looks like it’s ready now + soon,-0.15,0.75,Negativo
i don’t think you realize how big #0x0 will be for the next alt cycle. look into the narrative and get back to me sidelinoooooors.> [](> still in beta and still eating fat rewards #0x0 🔥 you still have a chance to get in under .1 and less than a  market cap. make it happen 🤝,-0.041666666666666664,0.04166666666666667,Negativo
whatever happened to those  cultist?,0.0,0.0,Neutro
negative funding.shorts go to horny jail.,-0.2,0.2,Negativo
"entered a tight stop scalp short on #btc, managing my risk.",-0.08928571428571429,0.2928571428571428,Negativo
: if #bitcoin can hold this area and close the day above it - i would  be fairly confident the bottom is in.great structural…,0.25,0.4666666666666667,Positivo
#gas  take partial profit from 7% onwards and trail,-0.1,0.3,Negativo
"when i say  does not  give a fuck, i mean it does not give a fuck.bullish engulfing candle on the daily.",-0.23750000000000002,0.4291666666666667,Negativo
shorts got bonked> [](>  negative funding.> > shorts go to horny jail.,-0.2,0.2,Negativo
read this once  > [](> treasure hunt series - citadelswap> > the #base network is booming with a tvl of around  million. to fuel this growth top-notch infrastructure is required.> > 🔍 discovered  - a promising project with an upcoming token launch!> > ▫️stay tuned for a deep dive> > repost 👇,0.09999999999999999,0.725,Positivo
double top visible on 4h n abovepositive fundingfavours bearsbut meme - high risk - max 2%#bonk > [](>  > >  short at cmp?,0.165,0.335,Positivo
here is the obstacle he must overcome to go straight to the moon,0.2,0.4,Positivo
"is going to turbo send imo.there  only so many sr flips we can do before it just marks up and leaves those prior highs in the dust.defo targeting all time highs, no doubt in my mind.trading this on bybit👇",0.16666666666666666,0.5,Positivo
nite killed it with  . he threadoorred it to  lol gg ator community!> [](>  |  > >  smashed 🔥,0.30000000000000004,0.35,Positivo
flip line and confirm  > [](>  pair btc bottom is  in,0.0,0.0,Neutro
loaded  here at mid range 🎯,0.0,0.0,Neutro
update  > [](> my ideal scenario waiting 0.5 zone 1940 area,0.9,1.0,Positivo
:  is going to print me a few  this week.,-0.2,0.1,Negativo
dips is gift,0.0,0.0,Neutro
#bitcoin not the worst looking chart.bulls need to hold the range low and this would look just fine.,-0.19444444444444442,0.6,Negativo
"if #bitcoin can hold these prices -- we are  looking at an aggressive sell-off that failed to break any key levels.sell pressure gets absorbed, strong bull market sign if we go up from here.",0.05833333333333332,0.7333333333333334,Positivo
"pretty sure this is going to break into new aths before christmas.man,  looks good.",0.3965909090909091,0.7358585858585859,Positivo
"when the bull market gets underway, demand for lending will skyrocket.chart looks poised for upside too;  should be a comfy hold from here.",0.0,0.0,Neutro
"#bitcoin is still following the rough expectations i set out 3 months ago.expecting a slower grind up from here, slowly making our way toward ,000.altcoins should continue to do well in the meantime.",-0.13333333333333333,0.3,Negativo
"it  still early, but as it stands it looks like #bitcoin is flipping yet another weekly level into support.",0.1,0.3,Positivo
"my expectation has been that /btc will retrace the entire spot etf filing move.it  nice in the long run but with a #bitcoin spot etf looming i think that will drive eth/btc back down before bouncing.for eth/btc to go down, it would likely be paired with upside on btc and…",0.03412698412698411,0.5146825396825396,Positivo
": #bridging 👇to bridge  from arbitrum, follow these steps:▫️ go to ▫️ connect your wallet…",0.0,0.0,Neutro
leverage trading with funds from your web3 wallet?now that stip funds have been claimed gmx trading incentives are live. receive 75% of the open fees airdropped back in arb. meaning there is a trading fee of 0.0175%.,0.04545454545454545,0.3333333333333333,Positivo
"2x hit  ...but i think more in next weeks> [](> add  on my spot bag ,nice deviation after close above daily",0.22000000000000003,0.32,Positivo
"best trade of the day, how much you made? #grok ?> [](> i think meme community will take over this coin   > > buy tip if you can handle rip",0.6,0.25,Positivo
: if #bitcoin can hold this area and close the day above it - i would  be fairly confident the bottom is in.great structural…,0.25,0.4666666666666667,Positivo
": dips are an inevitable part of #bitcoin bull markets. they pull back just deep enough to get you to panic sell, and th…",0.0,0.475,Neutro
":  is breaking out 👀 📈t1 - .38t2 - .50t3 - .58_trade with me here ➡️ 🔥 up to 30,…",0.0,0.0,Neutro
what a perfection 4% up,0.0,0.0,Neutro
"of course, the biggest rippers are the ones that i’m trading 😀they were lining up…",0.0,0.0,Neutro
booooooooooooom,0.0,0.0,Neutro
nailed the local bottom on this one,0.0,0.0,Neutro
macro chart#maverickprotocol is one of the new #altcoins i’m pretty bullish on.📍 long-term buy zone: .195-0.130        aggressive buy: 0.130-0.084🔨 major resistance: .59-0.75🎯 target 1 - .70🎯 target 2 - .00,0.14962121212121213,0.6515151515151515,Positivo
"just riding the line, if you had the  software, you would’ve known where to buy that dip 😀",0.0,0.0,Neutro
"lmao, already made back all the funds i send to cold storage, trading account back to athsmarket is very easy atm, but at some point that will stop. keep taking profit.> [](> been a good week.> > cashed out the trading profits, converting it to #bitcoin and sending it into cold storage.> > long term is the name of the game.",0.023703703703703685,0.6000000000000001,Positivo
"#1000bonk  on mexc and bybit expected double top with educational illustration sl is too high, hence noanfam indicator used",0.162,0.33799999999999997,Positivo
: postponed due to some issues,-0.125,0.375,Negativo
expecting more upside as long as this breakout holds,0.225,0.45,Positivo
"#lina  is wild, highly volatilelong only on confirmationnever trade without an sl and do not  hold forever without taking profit partially",0.04,0.5599999999999999,Positivo
,0.0,0.0,Neutro
more new highs. 🔥🔥,0.3181818181818182,0.4772727272727273,Positivo
"now do not  get too excited here fellas, at least, not until this level is reclaimed.not saying we go to zero but for now, this is looking like a bear retest.closed the leveraged altcoin positions as shared just now, waiting for this to play out. #bitcoin",0.037500000000000006,0.575,Positivo
careful with fomo here on the bounce as now  retesting resistance that was our support reclaim —> can look to play the continuation rejection —> likely get a chance at sweeping wick lowpersonally i’ve taken profits across the board on the bounce,-0.05,1.0,Negativo
