0,Sentiment,neg,neu,pos,compound
crazy that  is going to > market cap at the next cycle top as the “  of this cycle” and you still don’t own any anon. -100 exit or bust bitch.,Negativo,0.182,0.765,0.053,-0.6597
"crazy part is, a lot of what i have been trading is still up..",Negativo,0.179,0.821,0.0,-0.34
stacking on support..,Neutro,0.0,1.0,0.0,0.0
lfg!!,Neutro,0.0,1.0,0.0,0.0
- twitter been super bullish on this one and this is the first real pullback since the bottom. buying the daily re-touch of the supertrend support. close below and i will  sell.,Positivo,0.0,0.809,0.191,0.765
looks ready to get sent,Positivo,0.0,0.615,0.385,0.3612
"when you zoom out, all goodand we burned off that much needed rsi",Neutro,0.0,1.0,0.0,0.0
,Neutro,0.0,0.0,0.0,0.0
:  - quick video update on #bitcoin,Neutro,0.0,1.0,0.0,0.0
25e buy from a  wallet few 10e buys earlier from similar whale wallets too all time high within touching distance…  is programmed,Neutro,0.0,1.0,0.0,0.0
"0-56 days now one day you wake up, and you see the headline  etf approved> [](> in theory january 10th would be the last day. right now the etf experts have the odds at 90% for approval and believe it will end up having all approved at the same time. the decision for approval can come before the date. it’s just the latest date is 84 days away for",Positivo,0.0,0.88,0.12,0.8402
#gft,Neutro,0.0,1.0,0.0,0.0
getting ready for the move to +,Positivo,0.0,0.667,0.333,0.3612
now that fake su zhu sold his  bags it looks like it’s ready now + soon,Positivo,0.154,0.597,0.249,0.2263
i don’t think you realize how big #0x0 will be for the next alt cycle. look into the narrative and get back to me sidelinoooooors.> [](> still in beta and still eating fat rewards #0x0 🔥 you still have a chance to get in under .1 and less than a  market cap. make it happen 🤝,Positivo,0.0,0.906,0.094,0.6249
whatever happened to those  cultist?,Neutro,0.0,1.0,0.0,0.0
negative funding.shorts go to horny jail.,Negativo,0.425,0.575,0.0,-0.5719
"entered a tight stop scalp short on #btc, managing my risk.",Negativo,0.35,0.65,0.0,-0.5106
: if #bitcoin can hold this area and close the day above it - i would  be fairly confident the bottom is in.great structural…,Positivo,0.0,0.862,0.138,0.4939
#gas  take partial profit from 7% onwards and trail,Positivo,0.0,0.734,0.266,0.4404
"when i say  does not  give a fuck, i mean it does not give a fuck.bullish engulfing candle on the daily.",Positivo,0.0,0.849,0.151,0.431
shorts got bonked> [](>  negative funding.> > shorts go to horny jail.,Negativo,0.27,0.73,0.0,-0.5719
read this once  > [](> treasure hunt series - citadelswap> > the #base network is booming with a tvl of around  million. to fuel this growth top-notch infrastructure is required.> > 🔍 discovered  - a promising project with an upcoming token launch!> > ▫️stay tuned for a deep dive> > repost 👇,Positivo,0.0,0.819,0.181,0.8016
double top visible on 4h n abovepositive fundingfavours bearsbut meme - high risk - max 2%#bonk > [](>  > >  short at cmp?,Negativo,0.111,0.794,0.095,-0.0772
here is the obstacle he must overcome to go straight to the moon,Negativo,0.162,0.714,0.123,-0.1531
"is going to turbo send imo.there  only so many sr flips we can do before it just marks up and leaves those prior highs in the dust.defo targeting all time highs, no doubt in my mind.trading this on bybit👇",Negativo,0.113,0.887,0.0,-0.5719
nite killed it with  . he threadoorred it to  lol gg ator community!> [](>  |  > >  smashed 🔥,Positivo,0.216,0.529,0.255,-0.2003
flip line and confirm  > [](>  pair btc bottom is  in,Neutro,0.0,1.0,0.0,0.0
